CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Segment,KMeans_Cluster
CUST-0046,17,1,348.9,4,1,2,7,412,New Customers,2
CUST-0047,26,9,11386.55,3,4,5,12,345,Loyal Customers,2
CUST-0048,26,2,405.59,3,1,2,6,312,Need Attention,2
CUST-0049,64,7,3902.68,3,4,4,11,344,Loyal Customers,2
CUST-0050,36,14,9146.35,3,5,4,12,354,Loyal Customers,2
CUST-0051,99,5,3898.64,2,3,4,9,234,At Risk,2
CUST-0052,31,12,7616.75,3,4,4,11,344,Loyal Customers,2
CUST-0053,20,14,9936.03,4,5,5,14,455,Champions,2
CUST-0054,14,1,295.56,4,1,1,6,411,New Customers,2
CUST-0055,22,1,111.65,4,1,1,6,411,New Customers,2
CUST-0056,19,1,217.81,4,1,1,6,411,New Customers,2
CUST-0057,76,4,1405.93,2,3,3,8,233,At Risk,2
CUST-0058,307,1,70.52,1,1,1,3,111,Lost,1
CUST-0059,28,2,831.08,3,1,2,6,312,Need Attention,2
CUST-0060,5,26,25012.05,5,5,5,15,555,Champions,0
CUST-0061,95,3,2577.08,2,2,3,7,223,Need Attention,2
CUST-0062,206,2,292.63,1,1,1,3,111,Lost,1
CUST-0063,12,2,816.77,4,1,2,7,412,New Customers,2
CUST-0064,335,1,112.36,1,1,1,3,111,Lost,1
CUST-0065,181,1,153.87,2,1,1,4,211,Need Attention,1
CUST-0066,33,14,11038.34,3,5,5,13,355,Loyal Customers,2
CUST-0067,18,10,8233.87,4,4,4,12,444,Champions,2
CUST-0068,25,8,6004.62,3,4,4,11,344,Loyal Customers,2
CUST-0069,22,11,8856.42,4,4,4,12,444,Champions,2
CUST-0070,212,3,359.93,1,2,2,5,122,Lost,1
CUST-0071,4,2,989.92,5,1,3,9,513,New Customers,2
CUST-0072,1,15,44258.0,5,5,5,15,555,Champions,0
CUST-0073,17,8,8574.71,4,4,4,12,444,Champions,2
CUST-0074,8,29,83487.25,5,5,5,15,555,Champions,0
CUST-0075,20,2,880.41,4,1,3,8,413,New Customers,2
CUST-0076,326,2,495.05,1,1,2,4,112,Lost,1
CUST-0077,16,1,361.31,4,1,2,7,412,New Customers,2
CUST-0078,27,2,732.33,3,1,2,6,312,Need Attention,2
CUST-0079,23,10,6806.81,4,4,4,12,444,Champions,2
CUST-0080,75,6,2929.44,2,3,3,8,233,At Risk,2
CUST-0081,99,5,1310.63,2,3,3,8,233,At Risk,2
CUST-0082,60,6,4264.2,3,3,4,10,334,Loyal Customers,2
CUST-0083,321,1,188.98,1,1,1,3,111,Lost,1
CUST-0084,23,1,240.19,4,1,1,6,411,New Customers,2
CUST-0085,38,13,7264.55,3,5,4,12,354,Loyal Customers,2
CUST-0086,8,27,51680.77,5,5,5,15,555,Champions,0
CUST-0087,288,1,110.42,1,1,1,3,111,Lost,1
CUST-0088,12,6,3205.31,4,3,3,10,433,Loyal Customers,2
CUST-0089,26,2,308.98,3,1,1,5,311,Need Attention,2
CUST-0090,111,6,2532.34,2,3,3,8,233,At Risk,2
CUST-0091,196,2,106.07,1,1,1,3,111,Lost,1
CUST-0092,43,7,3728.11,3,4,3,10,343,Loyal Customers,2
CUST-0093,13,17,19331.7,4,5,5,14,455,Champions,0
CUST-0094,37,8,5957.58,3,4,4,11,344,Loyal Customers,2
CUST-0095,12,10,12199.39,4,4,5,13,445,Champions,2
CUST-0096,20,13,5235.33,4,5,4,13,454,Champions,2
CUST-0097,73,4,1022.03,2,3,3,8,233,At Risk,2
CUST-0098,42,13,5141.82,3,5,4,12,354,Loyal Customers,2
CUST-0099,280,3,757.32,1,2,2,5,122,Lost,1
CUST-0100,255,3,773.69,1,2,2,5,122,Lost,1
CUST-0101,213,1,196.59,1,1,1,3,111,Lost,1
CUST-0102,332,1,161.48,1,1,1,3,111,Lost,1
CUST-0103,84,5,1737.02,2,3,3,8,233,At Risk,2
CUST-0104,16,6,4601.56,4,3,4,11,434,Loyal Customers,2
CUST-0105,29,2,718.26,3,1,2,6,312,Need Attention,2
CUST-0106,9,24,57485.6,5,5,5,15,555,Champions,0
CUST-0107,91,7,2719.4,2,4,3,9,243,At Risk,2
CUST-0108,42,7,6534.47,3,4,4,11,344,Loyal Customers,2
CUST-0109,128,5,3014.44,2,3,3,8,233,At Risk,2
CUST-0110,13,2,261.8,4,1,1,6,411,New Customers,2
CUST-0111,61,4,1770.47,3,3,3,9,333,Loyal Customers,2
CUST-0112,95,4,2300.87,2,3,3,8,233,At Risk,2
CUST-0113,36,9,9520.37,3,4,4,11,344,Loyal Customers,2
CUST-0114,4,28,86343.1,5,5,5,15,555,Champions,0
CUST-0115,280,1,109.22,1,1,1,3,111,Lost,1
CUST-0116,233,3,794.25,1,2,2,5,122,Lost,1
CUST-0117,225,2,419.05,1,1,2,4,112,Lost,1
CUST-0118,22,2,508.13,4,1,2,7,412,New Customers,2
CUST-0119,9,17,33005.93,5,5,5,15,555,Champions,0
CUST-0120,10,9,3891.2,5,4,4,13,544,Champions,2
CUST-0121,9,2,763.48,5,1,2,8,512,New Customers,2
CUST-0122,252,3,247.36,1,2,1,4,121,Lost,1
CUST-0123,82,5,1248.97,2,3,3,8,233,At Risk,2
CUST-0124,258,1,42.28,1,1,1,3,111,Lost,1
CUST-0125,195,3,526.02,1,2,2,5,122,Lost,1
CUST-0126,72,7,3514.6,2,4,3,9,243,At Risk,2
CUST-0127,349,1,251.97,1,1,1,3,111,Lost,1
CUST-0128,19,12,5669.31,4,4,4,12,444,Champions,2
CUST-0129,318,3,679.38,1,2,2,5,122,Lost,1
CUST-0130,37,11,6772.66,3,4,4,11,344,Loyal Customers,2
CUST-0131,290,3,720.69,1,2,2,5,122,Lost,1
CUST-0132,317,1,144.75,1,1,1,3,111,Lost,1
CUST-0133,341,1,109.0,1,1,1,3,111,Lost,1
CUST-0134,283,2,248.35,1,1,1,3,111,Lost,1
CUST-0135,9,17,33619.43,5,5,5,15,555,Champions,0
CUST-0136,42,11,4829.12,3,4,4,11,344,Loyal Customers,2
CUST-0137,37,8,9872.2,3,4,4,11,344,Loyal Customers,2
CUST-0138,7,2,924.6,5,1,3,9,513,New Customers,2
CUST-0139,247,1,76.62,1,1,1,3,111,Lost,1
CUST-0140,18,12,8651.2,4,4,4,12,444,Champions,2
CUST-0141,249,3,367.79,1,2,2,5,122,Lost,1
CUST-0142,9,1,118.84,5,1,1,7,511,New Customers,2
CUST-0143,25,2,576.72,3,1,2,6,312,Need Attention,2
CUST-0144,30,11,9140.01,3,4,4,11,344,Loyal Customers,2
CUST-0145,5,1,180.59,5,1,1,7,511,New Customers,2
CUST-0146,32,11,10689.66,3,4,5,12,345,Loyal Customers,2
CUST-0147,17,10,7125.37,4,4,4,12,444,Champions,2
CUST-0148,278,2,562.8,1,1,2,4,112,Lost,1
CUST-0149,10,23,35167.27,5,5,5,15,555,Champions,0
CUST-0150,264,2,528.81,1,1,2,4,112,Lost,1
CUST-0151,5,25,53398.91,5,5,5,15,555,Champions,0
CUST-0152,12,21,37382.3,4,5,5,14,455,Champions,0
CUST-0153,10,2,825.98,5,1,2,8,512,New Customers,2
CUST-0154,27,1,176.06,3,1,1,5,311,Need Attention,2
CUST-0155,274,1,247.99,1,1,1,3,111,Lost,1
CUST-0156,18,2,464.82,4,1,2,7,412,New Customers,2
CUST-0157,12,2,804.56,4,1,2,7,412,New Customers,2
CUST-0158,88,7,4246.69,2,4,4,10,244,At Risk,2
CUST-0159,29,8,8360.84,3,4,4,11,344,Loyal Customers,2
CUST-0160,315,2,237.85,1,1,1,3,111,Lost,1
CUST-0161,319,2,307.36,1,1,1,3,111,Lost,1
CUST-0162,300,3,633.39,1,2,2,5,122,Lost,1
CUST-0163,349,3,296.42,1,2,1,4,121,Lost,1
CUST-0164,307,2,502.41,1,1,2,4,112,Lost,1
CUST-0165,30,14,13582.96,3,5,5,13,355,Loyal Customers,2
CUST-0166,3,26,58939.71,5,5,5,15,555,Champions,0
CUST-0167,140,6,3220.45,2,3,3,8,233,At Risk,2
CUST-0168,1,2,1035.72,5,1,3,9,513,New Customers,2
CUST-0169,315,1,46.96,1,1,1,3,111,Lost,1
CUST-0170,36,12,11467.77,3,4,5,12,345,Loyal Customers,2
CUST-0171,3,14,23527.98,5,5,5,15,555,Champions,0
CUST-0172,125,4,922.37,2,3,3,8,233,At Risk,2
CUST-0173,82,7,2089.86,2,4,3,9,243,At Risk,2
CUST-0174,180,3,740.81,2,2,2,6,222,Need Attention,1
CUST-0175,41,8,4481.82,3,4,4,11,344,Loyal Customers,2
CUST-0176,144,5,3071.62,2,3,3,8,233,At Risk,2
CUST-0177,353,1,163.81,1,1,1,3,111,Lost,1
CUST-0178,39,13,12125.35,3,5,5,13,355,Loyal Customers,2
CUST-0179,14,13,9198.6,4,5,4,13,454,Champions,2
CUST-0180,131,3,2325.2,2,2,3,7,223,Need Attention,2
CUST-0181,26,10,4030.72,3,4,4,11,344,Loyal Customers,2
CUST-0182,11,2,208.77,5,1,1,7,511,New Customers,2
CUST-0183,31,12,12296.07,3,4,5,12,345,Loyal Customers,2
CUST-0184,28,8,6030.31,3,4,4,11,344,Loyal Customers,2
CUST-0185,29,1,355.16,3,1,2,6,312,Need Attention,2
CUST-0186,14,26,23913.1,4,5,5,14,455,Champions,0
CUST-0187,296,1,167.8,1,1,1,3,111,Lost,1
CUST-0188,10,18,22742.0,5,5,5,15,555,Champions,0
CUST-0189,14,1,318.13,4,1,1,6,411,New Customers,2
CUST-0190,13,22,60192.56,4,5,5,14,455,Champions,0
CUST-0191,42,8,8779.24,3,4,4,11,344,Loyal Customers,2
CUST-0192,287,3,835.95,1,2,2,5,122,Lost,1
CUST-0193,9,2,816.41,5,1,2,8,512,New Customers,2
CUST-0194,131,4,2658.77,2,3,3,8,233,At Risk,2
CUST-0195,93,4,2615.02,2,3,3,8,233,At Risk,2
CUST-0196,28,2,468.06,3,1,2,6,312,Need Attention,2
CUST-0197,87,5,3331.68,2,3,3,8,233,At Risk,2
CUST-0198,99,3,1531.1,2,2,3,7,223,Need Attention,2
CUST-0199,14,12,10466.63,4,4,5,13,445,Champions,2
CUST-0200,40,6,4349.21,3,3,4,10,334,Loyal Customers,2
CUST-0201,17,7,8244.09,4,4,4,12,444,Champions,2
CUST-0202,99,5,2293.8,2,3,3,8,233,At Risk,2
CUST-0203,282,2,280.76,1,1,1,3,111,Lost,1
CUST-0204,331,1,75.26,1,1,1,3,111,Lost,1
CUST-0205,256,1,335.72,1,1,2,4,112,Lost,1
CUST-0206,4,2,1096.55,5,2,3,10,523,New Customers,2
CUST-0207,6,2,643.19,5,2,2,9,522,New Customers,2
CUST-0208,2,1,582.24,5,1,2,8,512,New Customers,2
CUST-0209,3,12,17397.37,5,4,5,14,545,Champions,2
CUST-0210,27,14,8429.15,3,5,4,12,354,Loyal Customers,2
CUST-0211,148,7,4722.12,2,4,4,10,244,At Risk,2
CUST-0212,134,5,1721.79,2,3,3,8,233,At Risk,2
CUST-0213,269,3,276.19,1,2,1,4,121,Lost,1
CUST-0214,22,1,137.18,4,1,1,6,411,New Customers,2
CUST-0215,16,12,6156.1,4,4,4,12,444,Champions,2
CUST-0216,31,6,6771.64,3,3,4,10,334,Loyal Customers,2
CUST-0217,5,1,292.14,5,1,1,7,511,New Customers,2
CUST-0218,116,7,3542.79,2,4,3,9,243,At Risk,2
CUST-0219,131,3,649.27,2,2,2,6,222,Need Attention,2
CUST-0220,25,1,341.28,3,1,2,6,312,Need Attention,2
CUST-0221,13,19,25643.29,4,5,5,14,455,Champions,0
CUST-0222,7,26,25263.52,5,5,5,15,555,Champions,0
CUST-0223,10,14,37516.47,5,5,5,15,555,Champions,0
CUST-0224,6,1,482.75,5,1,2,8,512,New Customers,2
CUST-0225,6,13,24245.33,5,5,5,15,555,Champions,0
CUST-0226,71,3,742.97,2,2,2,6,222,Need Attention,2
CUST-0227,26,2,760.02,3,2,2,7,322,Need Attention,2
CUST-0228,24,7,4872.44,3,4,4,11,344,Loyal Customers,2
CUST-0229,13,15,15912.59,4,5,5,14,455,Champions,2
CUST-0230,116,3,2285.65,2,2,3,7,223,Need Attention,2
CUST-0231,5,26,48341.84,5,5,5,15,555,Champions,0
CUST-0232,79,7,3086.55,2,4,3,9,243,At Risk,2
CUST-0233,92,6,2427.08,2,3,3,8,233,At Risk,2
CUST-0234,42,8,7333.65,3,4,4,11,344,Loyal Customers,2
CUST-0235,6,1,248.77,5,1,1,7,511,New Customers,2
CUST-0236,6,1,224.87,5,1,1,7,511,New Customers,2
CUST-0237,146,4,2643.07,2,3,3,8,233,At Risk,2
CUST-0238,71,4,2731.6,2,3,3,8,233,At Risk,2
CUST-0239,12,1,264.73,4,1,1,6,411,New Customers,2
CUST-0240,23,1,163.08,4,1,1,6,411,New Customers,2
CUST-0241,12,1,208.65,4,1,1,6,411,New Customers,2
CUST-0242,363,3,333.43,1,2,2,5,122,Lost,1
CUST-0243,113,4,1178.18,2,3,3,8,233,At Risk,2
CUST-0244,4,1,137.88,5,1,1,7,511,New Customers,2
CUST-0245,40,8,9736.91,3,4,4,11,344,Loyal Customers,2
CUST-0246,31,7,5155.06,3,4,4,11,344,Loyal Customers,2
CUST-0247,4,23,27206.37,5,5,5,15,555,Champions,0
CUST-0248,99,6,1668.78,2,3,3,8,233,At Risk,2
CUST-0249,91,5,2322.53,2,3,3,8,233,At Risk,2
CUST-0250,6,27,70261.86,5,5,5,15,555,Champions,0
CUST-0251,12,7,3579.24,4,4,3,11,443,Loyal Customers,2
CUST-0252,130,3,1882.56,2,2,3,7,223,Need Attention,2
CUST-0253,19,2,584.03,4,2,2,8,422,New Customers,2
CUST-0254,11,2,632.3,5,2,2,9,522,New Customers,2
CUST-0255,14,26,38303.76,4,5,5,14,455,Champions,0
CUST-0256,89,6,1539.84,2,3,3,8,233,At Risk,2
CUST-0257,266,1,121.39,1,1,1,3,111,Lost,1
CUST-0258,219,3,696.43,1,2,2,5,122,Lost,1
CUST-0259,222,1,227.18,1,1,1,3,111,Lost,1
CUST-0260,2,2,540.01,5,2,2,9,522,New Customers,2
CUST-0261,14,13,7814.14,4,5,4,13,454,Champions,2
CUST-0262,260,1,109.42,1,1,1,3,111,Lost,1
CUST-0263,364,2,228.24,1,2,1,4,121,Lost,1
CUST-0264,10,28,46861.05,5,5,5,15,555,Champions,0
CUST-0265,350,2,634.27,1,2,2,5,122,Lost,1
CUST-0266,1,16,31392.26,5,5,5,15,555,Champions,0
CUST-0267,12,14,16837.37,4,5,5,14,455,Champions,2
CUST-0268,12,18,29654.7,4,5,5,14,455,Champions,0
CUST-0269,30,11,13152.63,3,4,5,12,345,Loyal Customers,2
CUST-0270,22,1,290.16,4,1,1,6,411,New Customers,2
CUST-0271,24,1,260.97,3,1,1,5,311,Need Attention,2
CUST-0272,36,8,6563.46,3,4,4,11,344,Loyal Customers,2
CUST-0273,19,1,449.92,4,1,2,7,412,New Customers,2
CUST-0274,14,29,35022.79,4,5,5,14,455,Champions,0
CUST-0275,27,11,7463.8,3,4,4,11,344,Loyal Customers,2
CUST-0276,118,4,2214.71,2,3,3,8,233,At Risk,2
CUST-0277,11,17,33330.73,5,5,5,15,555,Champions,0
CUST-0278,116,6,1269.29,2,3,3,8,233,At Risk,2
CUST-0279,65,3,1398.68,2,2,3,7,223,Need Attention,2
CUST-0280,300,3,286.02,1,2,1,4,121,Lost,1
CUST-0281,323,1,67.1,1,1,1,3,111,Lost,1
CUST-0282,22,1,384.93,4,1,2,7,412,New Customers,2
CUST-0283,112,3,1683.79,2,2,3,7,223,Need Attention,2
CUST-0284,23,2,521.16,4,2,2,8,422,New Customers,2
CUST-0285,353,1,357.19,1,1,2,4,112,Lost,1
CUST-0286,273,2,194.79,1,2,1,4,121,Lost,1
CUST-0287,29,12,13015.07,3,4,5,12,345,Loyal Customers,2
CUST-0288,82,6,4248.66,2,3,4,9,234,At Risk,2
CUST-0289,3,2,411.5,5,2,2,9,522,New Customers,2
CUST-0290,93,5,3405.66,2,3,3,8,233,At Risk,2
CUST-0291,23,1,342.26,4,1,2,7,412,New Customers,2
CUST-0292,109,4,3275.1,2,3,3,8,233,At Risk,2
CUST-0293,13,8,5372.24,4,4,4,12,444,Champions,2
CUST-0294,4,19,20578.26,5,5,5,15,555,Champions,0
CUST-0295,40,12,7021.66,3,4,4,11,344,Loyal Customers,2
CUST-0296,220,3,513.31,1,2,2,5,122,Lost,1
CUST-0297,118,5,1931.54,2,3,3,8,233,At Risk,2
CUST-0298,186,3,573.73,1,2,2,5,122,Lost,1
CUST-0299,21,7,7612.13,4,4,4,12,444,Champions,2
CUST-0300,297,3,549.58,1,2,2,5,122,Lost,1
CUST-0301,33,12,7701.07,3,4,4,11,344,Loyal Customers,2
CUST-0302,4,1,200.77,5,1,1,7,511,New Customers,2
CUST-0303,39,6,4796.89,3,3,4,10,334,Loyal Customers,2
CUST-0304,5,2,564.86,5,2,2,9,522,New Customers,2
CUST-0305,89,4,2895.87,2,3,3,8,233,At Risk,2
CUST-0306,18,7,3885.7,4,4,4,12,444,Champions,2
CUST-0307,2,1,459.83,5,1,2,8,512,New Customers,2
CUST-0308,18,13,6997.39,4,5,4,13,454,Champions,2
CUST-0309,207,3,281.59,1,2,1,4,121,Lost,1
CUST-0310,29,7,4062.71,3,4,4,11,344,Loyal Customers,2
CUST-0311,1,1,201.39,5,1,1,7,511,New Customers,2
CUST-0312,11,25,27484.14,5,5,5,15,555,Champions,0
CUST-0313,29,2,1030.81,3,2,3,8,323,Need Attention,2
CUST-0314,9,18,28204.88,5,5,5,15,555,Champions,0
CUST-0315,40,11,12285.12,3,4,5,12,345,Loyal Customers,2
CUST-0316,75,3,1385.03,2,2,3,7,223,Need Attention,2
CUST-0317,248,2,267.29,1,2,1,4,121,Lost,1
CUST-0318,284,1,105.05,1,1,1,3,111,Lost,1
CUST-0319,41,14,6337.02,3,5,4,12,354,Loyal Customers,2
CUST-0320,8,12,22486.8,5,4,5,14,545,Champions,2
CUST-0321,3,15,19574.88,5,5,5,15,555,Champions,2
CUST-0322,13,28,48777.2,4,5,5,14,455,Champions,0
CUST-0323,308,1,151.59,1,1,1,3,111,Lost,1
CUST-0324,11,12,18168.43,5,4,5,14,545,Champions,2
CUST-0325,22,2,769.9,4,2,2,8,422,New Customers,2
CUST-0326,43,8,8153.21,3,4,4,11,344,Loyal Customers,2
CUST-0327,23,10,9086.82,4,4,4,12,444,Champions,2
CUST-0328,136,6,3801.7,2,3,3,8,233,At Risk,2
CUST-0329,267,1,118.28,1,1,1,3,111,Lost,1
CUST-0330,10,1,209.72,5,1,1,7,511,New Customers,2
CUST-0331,73,5,3538.43,2,3,3,8,233,At Risk,2
CUST-0332,41,11,9071.17,3,4,4,11,344,Loyal Customers,2
CUST-0333,118,3,1737.48,2,2,3,7,223,Need Attention,2
CUST-0334,26,1,359.71,3,1,2,6,312,Need Attention,2
CUST-0335,17,2,632.28,4,2,2,8,422,New Customers,2
CUST-0336,14,11,6692.44,4,4,4,12,444,Champions,2
CUST-0337,286,3,863.74,1,2,3,6,123,Lost,1
CUST-0338,127,7,3529.68,2,4,3,9,243,At Risk,2
CUST-0339,240,2,278.3,1,2,1,4,121,Lost,1
CUST-0340,17,12,5747.73,4,4,4,12,444,Champions,2
CUST-0341,67,3,2369.04,2,2,3,7,223,Need Attention,2
CUST-0342,344,3,576.67,1,2,2,5,122,Lost,1
CUST-0343,12,12,8199.55,4,4,4,12,444,Champions,2
CUST-0344,229,1,177.22,1,1,1,3,111,Lost,1
CUST-0345,243,2,446.41,1,2,2,5,122,Lost,1
CUST-0346,14,2,298.63,4,2,1,7,421,New Customers,2
CUST-0347,326,1,270.11,1,1,1,3,111,Lost,1
CUST-0348,242,1,157.28,1,1,1,3,111,Lost,1
CUST-0349,113,4,886.93,2,3,3,8,233,At Risk,2
CUST-0350,358,1,132.0,1,1,1,3,111,Lost,1
CUST-0351,27,1,358.28,3,1,2,6,312,Need Attention,2
CUST-0352,10,23,47018.75,5,5,5,15,555,Champions,0
CUST-0353,21,2,964.85,4,2,3,9,423,New Customers,2
CUST-0354,10,14,10167.17,5,5,5,15,555,Champions,2
CUST-0355,12,17,22103.53,4,5,5,14,455,Champions,0
CUST-0356,41,13,9535.45,3,5,4,12,354,Loyal Customers,2
CUST-0357,84,6,4520.46,2,3,4,9,234,At Risk,2
CUST-0358,132,3,1581.51,2,2,3,7,223,Need Attention,2
CUST-0359,118,3,1852.98,2,2,3,7,223,Need Attention,2
CUST-0360,77,6,4616.46,2,3,4,9,234,At Risk,2
CUST-0361,3,23,34669.61,5,5,5,15,555,Champions,0
CUST-0362,12,2,817.52,4,2,2,8,422,New Customers,2
CUST-0363,137,7,1685.57,2,4,3,9,243,At Risk,2
CUST-0364,27,7,3295.58,3,4,3,10,343,Loyal Customers,2
CUST-0365,38,12,6979.22,3,4,4,11,344,Loyal Customers,2
CUST-0366,285,2,251.36,1,2,1,4,121,Lost,1
CUST-0367,29,12,14266.5,3,4,5,12,345,Loyal Customers,2
CUST-0368,116,5,1233.32,2,3,3,8,233,At Risk,2
CUST-0369,7,2,1018.85,5,2,3,10,523,New Customers,2
CUST-0370,87,3,1693.61,2,2,3,7,223,Need Attention,2
CUST-0371,60,4,2350.17,3,3,3,9,333,Loyal Customers,2
CUST-0372,39,9,5281.06,3,4,4,11,344,Loyal Customers,2
CUST-0373,306,3,467.96,1,2,2,5,122,Lost,1
CUST-0374,241,1,51.4,1,1,1,3,111,Lost,1
CUST-0375,19,10,7911.69,4,4,4,12,444,Champions,2
CUST-0376,32,6,3418.39,3,3,3,9,333,Loyal Customers,2
CUST-0377,189,2,153.22,1,2,1,4,121,Lost,1
CUST-0378,344,3,779.36,1,2,2,5,122,Lost,1
CUST-0379,24,1,480.95,3,1,2,6,312,Need Attention,2
CUST-0380,28,2,451.3,3,2,2,7,322,Need Attention,2
CUST-0381,29,12,5317.77,3,4,4,11,344,Loyal Customers,2
CUST-0382,13,11,4915.05,4,4,4,12,444,Champions,2
CUST-0383,29,12,7997.59,3,4,4,11,344,Loyal Customers,2
CUST-0384,60,5,1442.46,3,3,3,9,333,Loyal Customers,2
CUST-0385,42,6,6825.64,3,3,4,10,334,Loyal Customers,2
CUST-0386,65,5,1358.69,2,3,3,8,233,At Risk,2
CUST-0387,87,6,4371.16,2,3,4,9,234,At Risk,2
CUST-0388,26,13,8155.33,3,5,4,12,354,Loyal Customers,2
CUST-0389,292,1,153.77,1,1,1,3,111,Lost,1
CUST-0390,227,1,103.68,1,1,1,3,111,Lost,1
CUST-0391,3,20,53229.6,5,5,5,15,555,Champions,0
CUST-0392,128,4,1049.51,2,3,3,8,233,At Risk,2
CUST-0393,183,1,205.03,2,1,1,4,211,Need Attention,1
CUST-0394,10,18,44937.96,5,5,5,15,555,Champions,0
CUST-0395,43,6,5587.33,3,3,4,10,334,Loyal Customers,2
CUST-0396,200,2,450.65,1,2,2,5,122,Lost,1
CUST-0397,12,7,7714.93,4,4,4,12,444,Champions,2
CUST-0398,19,14,11604.1,4,5,5,14,455,Champions,2
CUST-0399,8,17,39275.49,5,5,5,15,555,Champions,0
CUST-0400,89,7,2880.69,2,4,3,9,243,At Risk,2
CUST-0401,24,2,310.39,3,2,1,6,321,Need Attention,2
CUST-0402,76,5,1433.78,2,3,3,8,233,At Risk,2
CUST-0403,193,3,618.56,1,2,2,5,122,Lost,1
CUST-0404,20,1,166.25,4,1,1,6,411,New Customers,2
CUST-0405,65,7,4407.91,2,4,4,10,244,At Risk,2
CUST-0406,35,14,14887.08,3,5,5,13,355,Loyal Customers,2
CUST-0407,14,23,36764.35,4,5,5,14,455,Champions,0
CUST-0408,358,1,70.33,1,1,1,3,111,Lost,1
CUST-0409,204,1,282.3,1,1,1,3,111,Lost,1
CUST-0410,84,5,2112.73,2,3,3,8,233,At Risk,2
CUST-0411,133,6,4513.82,2,3,4,9,234,At Risk,2
CUST-0412,144,7,3415.24,2,4,3,9,243,At Risk,2
CUST-0413,86,6,1851.4,2,3,3,8,233,At Risk,2
CUST-0414,13,1,483.71,4,1,2,7,412,New Customers,2
CUST-0415,23,11,14077.95,4,4,5,13,445,Champions,2
CUST-0416,181,2,501.08,2,2,2,6,222,Need Attention,1
CUST-0417,8,19,50565.26,5,5,5,15,555,Champions,0
CUST-0418,12,26,27993.66,4,5,5,14,455,Champions,0
CUST-0419,29,7,8508.54,3,4,4,11,344,Loyal Customers,2
CUST-0420,232,1,107.02,1,1,1,3,111,Lost,1
CUST-0421,141,6,1510.76,2,3,3,8,233,At Risk,2
CUST-0422,202,1,158.26,1,1,1,3,111,Lost,1
CUST-0423,31,9,3583.57,3,4,3,10,343,Loyal Customers,2
